ev_id,crew_age,crew_inj_level,flight_hours
20111229X00837,57,0,21
20120119X11221,56,0,2640
20120125X31012,42,1,1200
20120126X92124,65,1,2
20120130X60836,52,0,100
20120203X23028,51,3,3600
20120203X61713,54,0,136
20120206X15258,47,0,972
20120207X34555,37,0,13
20120306X22101,54,3,31
20120306X11830,52,0,20
20120307X13644,51,3,1
20120308X94202,29,0,10
20120315X63245,65,3,22586
20120315X25642,57,0,1
20120315X35524,66,3,4500
20120317X91318,78,3,13681
20120318X65755,50,1,42
20120209X14823,58,0,10
20120210X20307,54,1,0.600000024
20120214X10923,45,0,81
20120215X93423,48,3,502
20120216X03340,62,2,35
20120220X14409,29,0,0
20120220X14409,49,0,0
20120222X64112,66,2,3
20120224X25922,51,0,1
20120224X42146,58,0,250
20120225X71947,31,3,4
20120226X01048,54,3,20825
20120301X15130,63,3,1
20120302X00956,55,0,148
20120302X22622,62,0,9
20120324X13858,65,2,5576
20120324X31438,56,1,45
20120326X11711,74,3,400
20120327X42426,55,0,14575
20120402X33507,70,0,2
20120402X20544,60,2,7
20120403X00927,26,0,24
20120404X74324,70,0,3
20120404X75417,48,0,10
20120404X61705,77,3,0
20120405X54148,40,2,40
20120409X64055,55,2,5
20120409X05702,34,0,781
20120410X01241,37,0,3732
20120413X73241,65,3,1600
20120414X64253,44,1,2
20120419X92541,73,1,420
20120419X54443,68,3,11098
20120419X75715,68,2,14
20120420X71440,54,0,2
20120421X43732,59,3,2
20120422X31201,61,1,9
20120423X93428,55,2,0
20120426X55701,69,0,4
20120501X72635,68,1,1500
20120502X70035,40,2,950
20120502X01340,44,0,100
20120509X31107,77,3,527.5
20120513X43605,57,0,13
20120513X50125,60,1,2
20120515X13641,63,0,1
20120515X14741,67,2,1000
20120518X65127,57,3,3
20120518X70641,65,3,5900
20120521X02548,53,0,1
20120521X11652,50,3,8928
20120522X10407,55,1,5
20120522X61319,46,3,3
20120523X33839,27,0,8
20120523X33839,28,0,8
20120523X04047,43,0,75
20120527X21141,23,3,3500
20120528X61423,64,0,2
20120529X01210,53,0,64
20120530X64155,57,0,93
20120530X64155,35,0,93
20120531X03103,62,1,159
20120601X44107,73,3,20000
20120605X33610,62,0,1616
20120607X54234,45,3,1
20120607X23516,54,0,8
20120608X43116,61,0,6
20120609X33249,34,0,5
20120609X55255,50,0,5764
20120611X14110,64,0,50
20120612X20331,31,2,374
20120613X32202,58,0,1
20120613X03940,55,2,652
20120614X24451,67,3,17570
20120615X94142,45,0,997
20120616X53520,54,2,8
20120618X85849,38,0,18
20120618X13514,42,0,1
20120618X00755,66,2,5
20120618X10736,68,3,390
20120621X34639,36,0,0
20120622X22743,63,3,22000
20120623X90047,41,3,1600
20120625X80103,64,3,2200
20120627X90622,45,0,7
20120628X15555,42,2,415
20120629X90208,65,1,2000
20120630X73955,57,0,80
20120701X53951,70,3,0
20120702X04032,76,0,7100
20120703X85443,24,1,2
20120703X63653,55,0,1
20120705X85000,89,3,1.200000048
20120710X05030,53,0,91
20120710X33103,37,2,1
20120711X12055,48,3,285
20120711X40806,60,0,1
20120711X85316,65,2,239.3000031
20120715X25131,59,3,1.200000048
20120717X52716,42,0,0.600000024
20120719X02902,29,0,10
20120719X20339,23,3,0
20120721X63628,60,2,198
20120723X43615,38,0,30
20120723X73701,54,0,2.700000048
20120723X90207,69,0,16802
20120725X10029,71,0,3
20120725X30915,67,2,3
20120725X35107,68,0,0
20120726X31600,53,3,13
20120726X21557,57,3,1175
20120727X33919,64,2,2
20120727X45750,68,0,2
20120727X13551,47,0,15110
20120727X30048,41,0,338
20120728X22222,50,0,12500
20120728X22222,47,0,12500
20120730X43449,66,2,2
20120730X73433,31,0,5037
20120731X92703,83,1,1014
20120801X51155,79,3,940
20120802X90114,67,0,75
20120802X94619,65,0,1
20120802X03552,51,0,1500
20120802X31102,66,3,3
20120802X80851,56,0,1
20120805X33417,52,0,48
20120806X05721,50,0,1
20120806X11036,72,3,1200
20120806X45840,59,0,1054
20120807X35254,52,0,0.600000024
20120809X62116,59,1,2
20120809X72239,67,0,1
20120811X45234,30,3,3
20120811X63955,70,3,3200
20120813X04206,47,0,800
20120814X94459,68,0,3
20120816X64012,44,0,0
20120820X02558,42,0,1000
20120821X32707,32,0,1700
20120821X35923,69,2,3
20120822X95632,50,0,2
20120823X20225,38,0,0.800000012
20120825X91616,84,2,4600
20120826X33639,50,3,600
20120826X42003,64,3,26000
20120826X51643,66,3,1600
20120827X12111,43,3,600
20120827X12111,60,3,600
20120827X24657,71,2,15653
20120828X44643,58,0,4
20120828X44740,66,3,24500
20120830X73434,74,3,6459
20120830X04523,42,0,4
20120831X90624,50,3,47
20120831X72351,41,1,2
20120901X24851,65,1,1
20120901X25234,60,0,2
20120901X25532,71,1,6
20120901X30019,76,2,1
20120903X13507,34,0,118
20120904X22203,81,3,3000
20120904X64842,79,2,2686
20120905X22842,37,0,1
20120906X82923,56,0,0
20120906X05700,41,0,6
20120906X23303,36,2,2
20120907X13241,27,0,5
20120908X81658,49,1,6
20120908X82232,58,3,4500
20120908X23751,53,3,0
20120909X00817,50,0,1
20120910X35729,66,3,350
20120910X60947,60,0,5500
20120910X71500,60,3,1800
20120910X72418,77,0,24000
20120910X90014,65,2,2300
20120911X12322,67,0,14
20120911X40823,60,0,30
20120913X50151,58,0,10
20120913X73204,76,1,2.200000048
20120915X95617,75,3,0
20120915X23852,57,0,20
20120916X71751,74,3,77
20120916X04309,52,3,0
20120917X44725,68,3,1
20120917X45348,69,3,4
20120917X63831,61,3,1000
20120918X34514,43,1,7000
20120918X81545,68,0,1
20120920X05155,34,0,69
20120920X50915,75,1,905
20120920X73017,69,0,0
20120921X60325,56,0,1
20120921X20003,79,3,5000
20120921X31658,35,0,1
20120922X92533,41,3,477
20120923X21645,67,1,1
20120923X35150,30,0,5
20120924X13230,46,1,1148
20120924X13230,44,1,1148
20120925X03916,56,0,1
20120930X93252,49,3,445
20121001X34716,36,0,3
20121002X70934,56,0,0
20121003X24635,48,3,1100
20121003X54254,32,0,0
20121004X40758,77,3,1
20121005X85658,58,2,15
20121027X02310,40,1,592
20121029X71356,43,0,30
20121031X31551,63,0,3710
20121102X31037,39,1,768
20121104X05051,48,3,43
20121104X20957,50,3,5
20121104X20957,41,3,5
20121106X84436,69,3,12500
20121106X01157,52,3,0
20121106X04117,73,0,6
20121106X00543,66,0,3
20121107X60747,65,3,1
20121107X15820,53,2,0
20121109X12955,36,1,2305
20121111X04124,41,3,0
20121111X63105,49,1,8
20121113X95501,80,0,0
20121113X95501,68,0,0
20121113X94546,65,3,984
20121115X43423,24,3,800
20121115X55729,20,0,22
20121116X62231,61,1,0
20121116X95412,24,3,49
20121117X40351,49,0,2620
20121118X14342,49,1,16200
20121118X14342,40,1,16200
20121118X34829,53,0,5
20121119X82503,60,3,0
20121119X10642,26,2,2
20121119X22007,68,2,1500
20121120X93558,37,0,1
20121121X33535,26,0,1090
20121121X13305,75,3,2
20121123X10319,60,0,6000
20121123X41210,68,3,19310
20121124X50143,31,0,5
20121125X90521,67,1,63
20121125X95949,63,3,159
20121126X75106,61,3,1500
20121126X22842,63,2,0
20121126X24312,46,3,0
20121127X24828,64,3,2500
20121128X12341,42,2,0
20121128X43813,49,3,250
20121129X84924,61,0,1500
20121129X00132,42,2,3
20121130X01711,46,1,0
20121130X74908,60,3,1
20121202X23953,37,3,4
20121203X20807,46,3,29
20121203X00941,80,3,30000
20121203X01110,49,3,4000
20121203X03615,40,2,99999
20121203X62629,23,1,263.6000061
20121203X92118,51,3,785
20121204X63622,31,0,0
20121204X82041,82,3,400
20121208X53119,33,3,1219
20121210X50311,74,0,1
20121210X32953,65,3,0
20121211X41020,52,3,66
20121211X61457,49,1,0
20121213X02920,77,3,4996.700195
20121005X04242,62,3,7
20121006X31929,60,3,569
20121009X14815,30,0,1
20121010X63824,52,3,12
20121010X71213,79,0,1668
20121011X32021,21,3,57.40000153
20121012X70109,67,2,0
20121012X13500,35,3,644.4000244
20121015X22823,57,3,185
20121015X92940,60,3,20
20121015X10207,57,0,3
20121015X10207,49,0,3
20121015X52420,54,0,2
20121015X63604,61,0,8
20121015X75934,77,0,0
20121015X01619,44,3,188.3000031
20121016X61509,75,3,822
20121016X75112,62,3,25000
20121017X91940,52,3,0
20121018X43944,69,0,7
20121018X90324,73,3,780
20121019X34838,62,2,4
20121022X93128,51,0,11
20121023X11953,55,0,0
20121023X13343,46,0,3
20121023X30148,38,2,1340
20121024X11737,57,3,3457
20121024X11737,56,3,3457
20121025X41040,83,3,4
20121026X03550,48,0,5
20121214X03022,62,0,1
20121214X14441,62,2,336
20121215X13232,29,2,5
20121215X21508,58,1,9
20121216X01302,82,3,51
20121216X70057,63,3,1006
20121217X91705,57,3,1650
20121218X11015,30,0,5025
20121218X70907,76,3,142
20121219X45033,28,3,3
20121219X15826,54,3,34
20121223X31656,64,3,126
20121224X20556,53,3,3000
20121225X13047,60,2,3
20121226X20928,49,0,2286
20121227X90525,68,1,1
20121228X71554,70,0,15
20121229X60421,65,3,1
20130101X20132,39,0,0
20130101X65128,47,0,700
20130102X13158,62,3,4.5
20130102X23415,35,0,0
20130102X73050,58,2,12
20130102X03247,72,0,1
20130102X04956,56,3,7000
20130102X35708,53,3,0
20130104X61334,58,3,1300
20130107X20121,68,3,3033
20130107X22046,72,3,7000
20130109X74659,61,2,500
20130111X91754,63,0,1
20130111X25405,54,3,171
20130112X22759,49,3,4
20130112X64931,70,3,15000
20130114X61927,55,3,1
20130114X64547,66,0,1500
20130114X21545,49,3,17
20130114X25958,54,0,0
20130116X44104,26,3,1483
20130116X83524,57,3,559
20130117X51933,67,0,2247
20130117X95034,28,1,1063.5
20130118X53100,49,0,0
20130118X53100,60,0,0
20130118X65621,55,0,4.5
20130119X02605,53,3,2170
20130119X10225,56,3,2500
20130120X21032,49,0,10000
20130122X15418,46,1,3000
20130122X90030,65,0,0
20130123X73100,23,0,40
20130123X73100,32,0,40
20130124X94007,31,3,470
20130125X11450,28,0,3
20130128X11324,57,0,6
20130130X44629,61,1,0
20130203X00707,33,1,5
20130203X23237,77,0,24950
20130203X31601,65,0,1
20130204X05610,31,1,955
20130204X62839,53,0,14
20130206X01948,41,1,2
20130206X33419,54,1,2823
20130206X71903,65,3,2
20130207X90553,42,0,200
20130207X04940,46,3,1550
20130208X43909,75,3,302
20130210X93918,59,3,21000
20130503X01815,60,2,3
20130504X22444,36,0,7
20130504X50339,73,3,141
20130504X95500,52,1,867
20130505X43742,33,0,15
20130506X13037,44,3,63
20130507X03740,76,2,8.300000191
20130507X44607,40,3,1
20130507X14800,24,1,3
20130509X00705,30,0,2
20130509X84633,54,0,22
20130509X40743,24,0,808
20130509X70449,44,3,176
20130509X04822,49,0,10
20130510X10838,67,0,0
20130510X41006,48,0,3
20130511X04905,55,0,1500
20130511X50706,49,0,7850
20130212X65452,45,0,9
20130213X43319,56,3,4186
20130213X15321,68,3,1
20130215X30422,55,0,20
20130216X54725,52,3,5
20130217X04137,44,2,10
20130218X41859,76,1,2
20130218X70747,27,0,25
20130218X22833,74,3,6.5
20130219X00240,43,0,3
20130220X10626,62,1,15
20130220X12251,58,0,0
20130220X32821,59,0,6
20130220X51849,58,0,15500
20130220X70407,56,0,3
20130220X11432,56,2,12609
20130220X23353,41,3,504.7999878
20130221X02230,64,0,6
20130225X60241,59,3,125
20130226X32006,62,0,503
20130305X11829,69,3,1122
20130305X21219,50,2,38
20130305X54320,63,3,1786
20130305X71252,59,3,15
20130308X62710,56,0,3
20130308X64149,38,3,3
20130310X02720,45,3,150
20130311X20744,72,1,550
20130312X23544,55,0,2
20130312X35227,54,1,2
20130312X95409,64,1,2
20130314X14422,62,0,9
20130315X82522,65,3,10000
20130316X85615,67,2,160
20130317X22700,63,2,105
20130317X85055,58,3,613.7000122
20130318X45644,39,0,0
20130318X82854,60,1,58
20130318X30400,26,0,73
20130319X13127,28,0,6
20130320X65919,54,0,0
20130321X53951,62,1,200
20130321X72347,25,0,393
20130325X91511,53,0,0
20130327X65321,51,0,1
20130327X81910,38,0,36
20130328X51818,38,1,24
20130328X51911,48,2,156
20130512X82339,43,0,0
20130513X11147,53,0,3
20130513X15143,67,2,0
20130513X32942,64,3,0.5
20130513X54235,48,0,10
20130513X04448,70,0,114.0999985
20130514X84020,48,0,0
20130515X44256,53,0,9
20130516X73436,67,3,1480
20130517X14847,57,0,3
20130517X43218,43,0,3800
20130519X61317,59,3,3
20130519X11737,60,0,7
20130520X11307,41,0,3
20130520X00903,42,0,6
20130523X61221,53,0,3
20130524X83830,46,0,7
20130524X84708,70,3,5
20130525X61706,32,3,560
20130526X13738,61,0,421
20130526X80753,68,2,0
20130527X93911,58,3,10050
20130528X55441,66,0,0
20130528X64403,59,3,540
20130529X91939,62,3,50
20130529X40730,58,0,5
20130529X53738,34,0,700
20130529X61546,77,0,5
20130329X05203,62,0,1
20130330X85743,77,3,4412
20130331X01207,79,3,12695
20130331X41252,55,3,10693
20130331X44346,56,3,7.5
20130401X00543,48,3,0
20130401X55939,43,0,400
20130403X14843,68,3,933
20130403X65155,53,3,6840
20130404X60734,38,0,1
20130405X00812,32,0,80
20130405X20143,27,3,12
20130406X70217,45,0,2500
20130407X01535,38,3,16
20130408X10949,54,0,0
20130408X15138,65,2,1
20130408X14112,70,3,3686.600098
20130409X54955,49,0,4
20130410X32722,53,2,2
20130412X91833,59,0,10
20130412X01737,58,1,11
20130412X82552,76,1,6300
20130412X94025,52,1,2400
20130412X02438,44,0,1
20130413X70531,66,2,2491
20130414X04421,62,3,1
20130414X32934,66,1,2
20130415X21911,53,2,5
20130415X35220,56,0,20
20130416X51228,42,1,682
20130418X83045,30,3,52.20000076
20130419X75623,54,3,19
20130422X43527,60,0,31
20130423X24807,50,2,3
20130423X41358,81,3,2
20130423X42801,64,1,8
20130423X65502,40,0,200
20130426X95408,32,2,725
20130427X24846,74,3,1
20130427X30522,81,3,7500
20130428X00603,21,0,41
20130428X31009,48,0,417
20130429X83907,58,3,90.5
20130429X11346,62,3,44
20130429X04502,34,1,50
20130429X04502,69,3,50
20130429X04502,63,3,50
20130429X12734,34,3,14
20130501X45321,50,1,2
20130502X93221,41,0,8
20130502X64041,69,0,40
20130502X11658,71,0,0
20130503X72652,72,3,5735
20130529X80542,43,1,522
20130530X00448,31,2,1027.5
20130531X00049,61,1,14
20130531X43006,47,0,0
20130531X43432,26,3,2694.100098
20130531X95830,52,0,1051
20130531X10043,44,1,1500
20130601X50034,69,3,16900
20130601X53019,44,2,6
20130603X31523,77,2,1
20130604X24846,53,0,1
20130605X32343,39,1,6
20130718X81101,54,1,1400
20130718X44907,70,2,8
20130718X61703,28,3,274
20130719X01824,27,0,360
20130719X52759,72,1,2073
20130719X52919,28,0,7
20130719X60101,55,2,2500
20130721X92450,54,0,1
20130722X63758,63,2,0
20130722X01307,53,2,8
20130722X51944,66,3,2300
20130722X75513,46,0,3
20130722X94513,60,0,0
20130722X21859,22,3,165
20130723X75118,54,1,2
20130723X91113,36,3,40
20130723X13256,49,0,150
20130723X41723,66,0,200
20130723X70214,45,0,200
20130724X20326,59,0,1500
20130724X54838,46,0,15
20130724X00828,65,2,6
20130725X10529,53,3,1
20130725X40602,81,3,0
20130726X01233,58,0,37
20130726X71915,58,0,4
20130727X31220,35,3,1381
20130728X04056,65,1,20
20130728X01815,75,3,32920
20130728X45845,30,3,626
20130728X71223,65,3,430
20130728X84310,61,0,5
20130729X70726,47,0,8
20130729X71209,68,0,1864
20130729X03843,43,2,1
20130729X04550,55,0,70
20130729X20629,66,0,3
20130729X42909,28,1,0
20130729X54557,79,3,4506
20130729X63147,46,0,2
20130729X63745,65,3,419
20130729X84808,36,2,108
20130730X91402,68,3,1826
20130730X31545,46,1,1200
20130730X54808,32,1,104
20130605X03516,36,1,2
20130605X25202,70,3,15
20130606X60930,49,1,4
20130606X73545,44,0,4
20130606X34407,47,1,1800
20130607X03043,39,3,9
20130607X04715,61,3,1
20130607X71832,38,0,0
20130607X70213,71,3,15925
20130608X41116,75,3,20
20130608X61221,69,3,3110
20130610X90937,71,0,407
20130610X04343,50,0,373
20130610X20528,66,1,4
20130610X23739,35,0,418
20130610X93351,77,1,21
20130611X40901,64,3,25000
20130611X55359,66,2,3
20130612X84421,17,2,36
20130612X12326,32,1,2
20130612X21042,77,3,2536
20130613X05415,65,0,2
20130613X20505,69,2,445
20130613X40838,81,1,0
20130613X82747,57,0,2000
20130613X84701,48,0,3000
20130614X14844,49,0,1
20130614X22020,66,0,3
20130614X22020,55,0,3
20130615X22851,63,3,1500
20130617X25112,69,0,3523
20130617X45827,49,0,4
20130617X50357,48,2,10
20130617X83150,62,0,2
20130618X55436,56,2,3
20130618X65425,67,0,0
20130618X95835,27,0,750
20130619X05459,44,3,6
20130619X35956,74,0,9
20130619X61036,20,0,3
20130619X94050,38,0,3
20130620X92326,58,0,2
20130620X43850,60,0,5
20130620X94258,44,3,1540
20130621X85029,54,2,2.200000048
20130621X93744,61,0,1
20130621X05001,75,1,2
20130621X52631,19,3,42
20130621X60549,51,0,0
20130621X64655,49,0,3000
20130621X75837,20,0,220
20130622X75523,64,3,23
20130623X25322,70,3,2.5
20130624X92540,52,3,2517
20130624X93000,41,3,945
20130624X94122,38,1,9
20130624X11125,34,2,11
20130624X23234,42,0,4
20130624X23234,31,0,4
20130624X31512,30,2,1
20130624X54201,51,3,3
20130624X75157,44,3,8
20130625X05535,43,1,1
20130625X42613,64,0,1
20130625X62910,48,0,6
20130627X42109,47,0,4
20130627X54046,66,2,2528
20130627X55924,71,2,50
20130628X01127,74,3,3
20130628X45644,39,2,24
20130628X45644,48,2,24
20130628X95008,61,3,4900
20130629X15042,67,3,3
20130630X44536,61,0,1
20130630X55825,54,3,300
20130630X05830,58,2,38
20130630X12443,43,3,0
20130701X21406,57,0,25
20130701X53416,33,0,233
20130701X90424,64,0,1
20130701X90424,49,0,1
20130702X22743,40,2,0
20130702X25727,53,0,125
20130730X55435,66,0,1
20130730X61309,30,0,1
20130731X22809,53,2,14
20130731X05045,53,1,15
20130801X85656,60,0,100
20130801X45717,57,1,2000
20130801X55434,43,2,1
20130802X03647,53,2,162
20130803X84355,41,3,24
20130803X34531,39,3,26.29999924
20130803X53848,57,1,5
20130804X12718,35,0,4509
20130804X12723,64,0,1213
20130804X20405,40,0,1
20130804X31204,74,0,17000
20130804X35418,58,3,5
20130804X74727,58,1,5
20130805X21802,70,2,89
20130805X41451,43,2,1
20130805X51324,56,0,3
20130805X03340,75,0,2000
20130806X13743,31,0,120
20130806X20950,65,0,8
20130806X31354,48,0,0
20130806X65908,46,0,31
20130807X03218,62,0,0
20130807X14838,34,3,6
20130808X21853,43,0,6
20130808X62519,30,1,0
20130808X65644,63,0,23
20130808X70819,50,0,8
20130808X74709,43,0,9
20130809X85042,53,0,700
20130809X23530,54,3,1958
20130809X25429,63,0,1
20130809X51835,43,0,600
20130811X33918,59,0,1
20130702X52525,64,0,2
20130702X60428,52,0,1362
20130702X62527,73,2,2
20130702X65044,78,2,1
20130702X80453,57,0,2
20130702X80453,0,0,2
20130702X95531,22,0,887
20130703X15053,75,0,5000
20130703X54408,54,0,206
20130703X10508,74,2,6800
20130704X22325,58,2,1.5
20130705X70647,43,0,128
20130706X02914,61,0,4
20130706X84837,45,1,0
20130707X83745,45,0,378
20130707X95053,54,2,6
20130707X14623,42,3,7765
20130708X85001,43,1,10
20130708X93527,68,1,9
20130708X21555,34,0,66
20130708X24134,63,0,0
20130708X51520,62,1,360
20130709X80600,64,1,2
20130709X10955,54,0,100
20130709X23614,60,0,8
20130709X54818,36,0,11000
20130709X11717,67,2,2
20130709X14212,48,0,1
20130710X03512,34,0,200
20130710X74631,65,1,6
20130710X75522,76,0,5
20130711X55743,55,0,1
20130711X61156,51,0,2461
20130711X73536,63,0,1349
20130711X84910,73,2,75
20130712X61436,56,0,1
20130715X41851,56,0,2200
20130715X74541,64,0,4.5
20130715X74541,42,0,4.5
20130715X75803,80,2,750
20130715X82527,58,1,1
20130716X00902,24,3,3
20130716X92622,27,3,3
20130716X05521,64,0,1
20130811X41436,38,3,56
20130812X12740,62,0,50
20130812X20801,75,1,13
20130812X21944,70,0,7
20130812X25533,55,0,2
20130812X51051,67,3,36
20130812X62730,68,0,442.2000122
20130812X64344,50,0,2
20130812X03225,52,0,4
20130813X11626,29,0,2
20130813X14833,60,0,75
20130813X34141,21,0,1.100000024
20130813X53232,54,3,3750
20130813X72800,68,0,1
20130814X83846,71,0,0.400000006
20130814X15751,58,3,2
20130814X84604,59,0,29
20130814X91410,82,0,2125
20130814X21141,52,1,5
20130815X82832,66,0,22000
20130815X95202,30,1,74.40000153
20130815X14705,69,0,1
20130815X32337,29,0,1700
20130815X70713,64,1,6387
20130816X01804,72,3,128.8000031
20130819X93333,47,0,7
20130819X00249,62,0,0
20130819X14050,52,0,3
20130819X52423,52,3,87
20130820X03203,28,0,100
20130820X12942,67,3,305
20130822X11459,59,0,4
20130822X63331,27,0,320
20130823X54017,34,0,150
20130823X01729,64,0,2
20130823X31739,30,2,74
20130824X50810,65,0,2
20130824X74132,68,1,1
20130824X13110,37,1,1
20130825X15006,31,3,536.7000122
20130825X91338,69,3,200
20130826X03647,60,1,0
20130826X13248,60,0,1
20130826X25737,70,1,75
20130826X33312,55,1,5
20130826X41626,41,0,18000
20130826X54510,43,0,1
20130826X55921,55,1,30
20130826X75643,41,3,750
20130827X11712,50,0,3
20130827X24543,69,0,4820
20130827X51843,33,3,8560
20130827X84031,67,1,0.600000024
20130828X35629,60,0,202
20130828X35656,66,0,6
20130828X41517,56,0,4
20130828X00254,68,1,626.5
20130828X02251,61,2,6.099999905
20130829X54643,82,1,3980
20130829X63023,82,1,1
20130830X81009,68,0,1
20130830X10122,30,3,85
20130830X72351,52,0,3
20130830X80236,29,1,97
20130831X54252,34,3,4
20130831X85235,34,0,5
20130901X10646,48,0,1
20130901X95021,32,0,4700
20130902X32141,79,0,50
20130903X84628,58,2,0
20130903X03549,51,1,4
20130903X04459,58,3,2000
20130903X11238,44,1,2
20130903X22743,53,0,5
20130903X23635,63,0,300
20130903X40603,53,0,7
20130903X54226,73,0,1
20130903X70109,42,0,70
20130904X90118,62,0,30
20130904X05544,33,0,3076
20130904X05544,54,0,3076
20130904X44742,28,0,734
20130904X62649,55,2,30
20130904X80146,31,1,0
20130905X83150,59,2,2.5
20130905X24257,71,2,40
20130905X52908,41,0,1
20130905X71214,63,0,8
20130906X94639,35,1,33
20130906X04335,46,1,3
20130906X35911,41,3,186
20130906X51808,64,0,2589
20130906X51808,49,0,2589
20130906X61522,41,0,650
20130906X62754,33,0,4
20130906X73030,40,3,930
20130906X85732,31,1,90
20130908X23506,24,1,721
20130908X63200,46,3,5
20130908X83231,70,0,2
20130909X85712,53,0,1
20130909X93855,73,3,18300
20130909X10032,57,1,100
20130909X20434,53,1,2
20130909X25845,55,0,0
20130909X40737,47,1,2
20130909X44026,27,1,12
20130909X51125,72,0,31603
20130909X72922,47,0,2356
20130909X84734,48,1,595
20130909X11953,59,1,100
20130910X10835,52,0,1
20130910X71433,64,0,4
20130910X93340,36,1,5
20130910X54302,41,1,270
20130910X94248,48,0,21
20130911X05138,59,0,0
20130911X13208,58,0,90
20130911X14426,74,2,977
20130911X20848,59,2,2380
20130911X23401,69,0,3
20130911X51746,67,3,1150
20130911X64815,58,0,4
20130911X71428,54,0,3
20130911X30906,33,0,6
20130912X31640,63,0,3.5
20130912X51926,30,1,999
20130913X72435,28,1,1036
20130915X34034,74,0,2
20130915X43204,31,0,513
20130915X53135,33,0,0
20130915X55145,61,2,7500
20130916X84712,50,0,1
20130916X02738,52,0,50
20130916X23246,46,1,3
20130916X32616,42,0,0
20130916X43341,69,0,4
20130916X61915,53,0,0
20130916X70045,45,0,8
20130916X75139,53,0,99999
20130917X01349,53,3,19000
20130917X04218,67,1,28000
20130917X54848,47,3,9747
20130917X90729,59,0,0
20130918X50233,53,0,1
20130918X95121,59,0,1
20130919X34941,49,0,2
20130919X43425,38,0,1
20130919X74334,46,1,4
20130919X04513,35,1,325
20130920X14012,42,2,1
20130920X50453,59,0,5
20130920X94448,66,0,1
20130920X04503,43,3,85
20130921X71327,51,3,1856
20130922X15430,81,0,1
20130922X21711,68,2,6.800000191
20130923X91125,65,1,10
20130923X52904,45,0,0
20130923X62507,55,0,3
20130924X12323,63,3,1000
20130924X85257,64,0,1
20130924X42839,26,0,2
20130924X53415,56,0,0
20130925X14546,61,0,1
20130925X92803,70,2,12
20130925X03050,62,1,3
20130925X21307,76,0,3
20130925X93321,47,0,627
20130925X23112,63,3,300
20130926X95040,65,0,7
20130926X05905,64,0,100
20130926X15937,50,1,2
20130927X32557,75,0,2
20130927X52948,44,0,2
20130927X71354,73,2,0
